distance_miles,latitude,longitude,elevation_m
141.42,38.225423,-106.586824,2974.0
143.17,38.240472,-106.561004,3132.0
143.43,38.241792,-106.556402,3226.0
143.52,38.24265,-106.555241,3263.0
143.61,38.243905,-106.554702,3296.0
143.81,38.246311,-106.556759,3341.0
144.01,38.248444,-106.559304,3362.0
144.23,38.251565,-106.558427,3379.0
144.47,38.253538,-106.554719,3351.0
144.7,38.253261,-106.550499,3364.0
144.89,38.254889,-106.547654,3310.0
145.01,38.255751,-106.545808,3238.0
145.25,38.258326,-106.542902,3233.0
145.44,38.260719,-106.541194,3274.0
145.59,38.261778,-106.53876,3312.0
145.75,38.262675,-106.536021,3325.0
145.97,38.265527,-106.533942,3290.0
146.18,38.268107,-106.532073,3293.0
146.37,38.270744,-106.531239,3320.0
146.57,38.273422,-106.529792,3332.0
146.77,38.276271,-106.52899,3341.0
146.93,38.278136,-106.527306,3362.0
147.09,38.279844,-106.52521,3390.0
147.29,38.282727,-106.52459,3416.0
147.5,38.284764,-106.521734,3392.0
147.67,38.286726,-106.519915,3375.0
147.87,38.289691,-106.519856,3348.0
148.07,38.292432,-106.518679,3331.0
148.27,38.295302,-106.518366,3307.0
148.47,38.297355,-106.515756,3300.0
148.79,38.301882,-106.514428,3306.0
149.94,38.314739,-106.501018,3563.0
151.65,38.313504,-106.469435,3588.0
152.75,38.300306,-106.457908,3426.0
154.26,38.284585,-106.4385,3455.0
155.98,38.284989,-106.406759,3439.0
158.09,38.298509,-106.372006,3459.0
160.29,38.310154,-106.334049,3182.0
162.06,38.332678,-106.318554,3208.0
163.45,38.344368,-106.297494,3242.0
164.51,38.35001,-106.27939,3413.0
166.26,38.351057,-106.247135,3475.0
168.01,38.375673,-106.23928,3414.0
169.2,38.391962,-106.24661,3305.0
169.48,38.395743,-106.248788,3340.0
169.86,38.399807,-106.253489,3355.0
170.25,38.405424,-106.254286,3416.0
170.81,38.413444,-106.255865,3472.0
171.82,38.428086,-106.255102,3580.0
172.66,38.440062,-106.257219,3529.0
173.14,38.443299,-106.265134,3544.0
173.64,38.448256,-106.271952,3623.0
174.32,38.457958,-106.273754,3596.0
175.05,38.468114,-106.26983,3486.0
175.31,38.471738,-106.271119,3397.0
175.46,38.473197,-106.273188,3339.0
176.15,38.482663,-106.277364,3216.0
177.89,38.507104,-106.269392,3023.0
179.35,38.528259,-106.268219,2901.0
180.83,38.540419,-106.245667,2708.0
181.36,38.546727,-106.24027,2834.0
182.77,38.565396,-106.229397,2903.0
183.92,38.580804,-106.221178,2821.0
185.44,38.595693,-106.20063,3006.0
186.49,38.608768,-106.190613,3053.0
187.46,38.622811,-106.1886,3071.0
188.87,38.642681,-106.182915,2988.0
190.02,38.658642,-106.176422,2963.0
190.55,38.664888,-106.181935,2956.0
191.51,38.677033,-106.173018,2824.0
192.13,38.684826,-106.167463,2725.0
192.78,38.693423,-106.172554,2738.0
193.54,38.702436,-106.18071,2727.0
194.09,38.710324,-106.182483,2750.0
194.78,38.706776,-106.194384,2758.0
195.0,38.708562,-106.197855,2681.0
195.51,38.715707,-106.199723,2567.0
197.75,38.732996,-106.164512,2502.0
198.38,38.742087,-106.162919,2634.0
200.09,38.751863,-106.192054,2921.0
201.17,38.76452,-106.203896,2965.0
202.3,38.776181,-106.218665,3030.0
203.42,38.791771,-106.224794,3006.0
204.19,38.798849,-106.235691,2854.0
204.58,38.803161,-106.240446,2708.0
205.84,38.807402,-106.263314,2812.0
206.83,38.814342,-106.279377,2880.0
207.19,38.81952,-106.278603,3067.0
207.98,38.830874,-106.27947,3287.0
208.71,38.841462,-106.278303,3469.0
209.29,38.848557,-106.284125,3561.0
210.14,38.854885,-106.270649,3373.0
210.78,38.859696,-106.26027,3276.0
211.63,38.863897,-106.245461,2920.0
212.41,38.87436,-106.24004,3102.0
214.25,38.901,-106.24254,3215.0
215.68,38.9205,-106.25163,3340.0
217.25,38.93903,-106.26855,3515.0
218.29,38.953765,-106.272551,3505.0
219.07,38.964506,-106.277152,3174.0
219.94,38.975081,-106.28604,3546.0
222.25,39.008463,-106.283725,2938.0
222.93,39.018087,-106.281146,2717.0
224.19,39.021738,-106.304174,2966.0
225.5,39.040137,-106.310302,2932.0
226.57,39.053417,-106.320677,3011.0
227.75,39.070183,-106.324541,2929.0
228.35,39.073544,-106.314143,2806.0
229.18,39.084462,-106.307659,2813.0
230.75,39.095875,-106.332982,2827.0
231.95,39.094505,-106.355399,2833.0
232.58,39.096002,-106.366988,2889.0
234.09,39.102616,-106.393747,3184.0
235.43,39.12177,-106.388877,3193.0
236.96,39.139339,-106.406053,3210.0
237.58,39.147433,-106.411439,3179.0
237.98,39.15083,-106.417356,3077.0
238.83,39.162969,-106.414609,3288.0
240.14,39.180002,-106.425691,3394.0
242.18,39.209518,-106.42654,3350.0
243.85,39.233122,-106.420016,3259.0
245.59,39.258206,-106.423386,3400.0
246.26,39.265111,-106.432373,3266.0
