track_name,latitude,longitude,color
CT,37.3532877,-107.9291489,#00AA00
CT,37.3533765,-107.929103,#00AA00
CT,37.3534532,-107.9290525,#00AA00
CT,37.3534872,-107.9290449,#00AA00
CT,37.3535408,-107.9290938,#00AA00
CT,37.3535529,-107.9291382,#00AA00
CT,37.3535006,-107.9291734,#00AA00
CT,37.3533826,-107.9292438,#00AA00
CT,37.3532719,-107.9293234,#00AA00
CT,37.3531928,-107.929429,#00AA00
CT,37.3529215,-107.9296188,#00AA00
CT,37.3527962,-107.9296678,#00AA00
CT,37.3526319,-107.9297688,#00AA00
CT,37.3525759,-107.9298653,#00AA00
CT,37.352245,-107.9300168,#00AA00
CT,37.3520807,-107.930127,#00AA00
CT,37.3520077,-107.9301775,#00AA00
CT,37.351953,-107.9302709,#00AA00
CT,37.3519396,-107.9303137,#00AA00
CT,37.3519554,-107.9303551,#00AA00
CT,37.351998,-107.9303581,#00AA00
CT,37.352026,-107.9303505,#00AA00
CT,37.3520734,-107.9303382,#00AA00
CT,37.3521829,-107.9303612,#00AA00
CT,37.3523326,-107.9303474,#00AA00
CT,37.352419,-107.9303397,#00AA00
CT,37.3525078,-107.9302632,#00AA00
CT,37.3526112,-107.930228,#00AA00
CT,37.3527572,-107.9301102,#00AA00
CT,37.3528521,-107.930052,#00AA00
CT,37.3529482,-107.9300642,#00AA00
CT,37.3530869,-107.9300719,#00AA00
CT,37.3532463,-107.9300413,#00AA00
CT,37.3533352,-107.9299892,#00AA00
CT,37.3534726,-107.9299142,#00AA00
CT,37.3535627,-107.9299311,#00AA00
CT,37.3536722,-107.9299938,#00AA00
CT,37.3538401,-107.930052,#00AA00
CT,37.3540165,-107.9300459,#00AA00
CT,37.3542185,-107.930029,#00AA00
CT,37.3544679,-107.9299341,#00AA00
CT,37.3545689,-107.9298561,#00AA00
CT,37.3546467,-107.9297918,#00AA00
CT,37.3546917,-107.9296602,#00AA00
CT,37.3547416,-107.9296066,#00AA00
CT,37.3547781,-107.9296219,#00AA00
CT,37.3547903,-107.9297061,#00AA00
CT,37.3547477,-107.9298668,#00AA00
CT,37.3546139,-107.9301346,#00AA00
CT,37.3544411,-107.9302831,#00AA00
CT,37.3543,-107.9303505,#00AA00
CT,37.3539934,-107.9303535,#00AA00
CT,37.3538024,-107.9303168,#00AA00
CT,37.3535712,-107.9303443,#00AA00
CT,37.3535006,-107.9303994,#00AA00
CT,37.3533802,-107.930502,#00AA00
CT,37.3532439,-107.930554,#00AA00
CT,37.3531636,-107.9306321,#00AA00
CT,37.3531307,-107.930727,#00AA00
CT,37.3531149,-107.9308219,#00AA00
CT,37.3531616,-107.9309752,#00AA00
CT,37.3532597,-107.9307025,#00AA00
CT,37.3533887,-107.9306642,#00AA00
CT,37.3536332,-107.9306596,#00AA00
CT,37.3536831,-107.9306566,#00AA00
CT,37.3537805,-107.9306872,#00AA00
CT,37.3538048,-107.9307224,#00AA00
CT,37.3538316,-107.9307974,#00AA00
CT,37.3538875,-107.9308938,#00AA00
CT,37.3539593,-107.9309306,#00AA00
CT,37.3540384,-107.9309137,#00AA00
CT,37.3541406,-107.9308556,#00AA00
CT,37.3542428,-107.9308005,#00AA00
CT,37.3543759,-107.9308305,#00AA00
CT,37.3545676,-107.9309028,#00AA00
CT,37.3547197,-107.9308265,#00AA00
CT,37.3549582,-107.9307867,#00AA00
CT,37.3551249,-107.9307362,#00AA00
CT,37.3553366,-107.9305999,#00AA00
CT,37.3553913,-107.9305739,#00AA00
CT,37.355412,-107.9305464,#00AA00
CT,37.3554558,-107.9305234,#00AA00
CT,37.3554838,-107.9305403,#00AA00
CT,37.3554923,-107.9305923,#00AA00
CT,37.3554619,-107.9306811,#00AA00
CT,37.3553889,-107.9307607,#00AA00
CT,37.3552721,-107.9308326,#00AA00
CT,37.3551918,-107.9309214,#00AA00
CT,37.3550385,-107.9310561,#00AA00
CT,37.3548584,-107.9312106,#00AA00
CT,37.354727,-107.9312642,#00AA00
CT,37.3546406,-107.9313545,#00AA00
CT,37.3544642,-107.9315428,#00AA00
CT,37.354373,-107.9315581,#00AA00
CT,37.354227,-107.9316086,#00AA00
CT,37.3539727,-107.9317678,#00AA00
CT,37.3537951,-107.9318076,#00AA00
CT,37.3535554,-107.9318321,#00AA00
CT,37.3534556,-107.9317984,#00AA00
CT,37.3533339,-107.931806,#00AA00
CT,37.353233,-107.9317663,#00AA00
CT,37.353149,-107.9317234,#00AA00
CT,37.353048,-107.9317157,#00AA00
CT,37.3529945,-107.9317877,#00AA00
CT,37.352919,-107.9319285,#00AA00
CT,37.3528594,-107.9320234,#00AA00
CT,37.3528229,-107.9320754,#00AA00
CT,37.3527609,-107.9322162,#00AA00
CT,37.3527292,-107.9323295,#00AA00
CT,37.352711,-107.9324826,#00AA00
CT,37.3526781,-107.9326142,#00AA00
CT,37.3526307,-107.9327397,#00AA00
CT,37.3525905,-107.9328484,#00AA00
CT,37.3525321,-107.932957,#00AA00
CT,37.3524312,-107.9331468,#00AA00
CT,37.3523995,-107.9332999,#00AA00
CT,37.3523801,-107.9334392,#00AA00
CT,37.3523679,-107.9336167,#00AA00
CT,37.3523326,-107.9338433,#00AA00
CT,37.3522912,-107.933981,#00AA00
CT,37.3522389,-107.9341984,#00AA00
CT,37.3522085,-107.9343162,#00AA00
CT,37.3522061,-107.9344035,#00AA00
CT,37.3522146,-107.9345244,#00AA00
CT,37.352228,-107.93463,#00AA00
CT,37.3522426,-107.9347142,#00AA00
CT,37.3522511,-107.9347953,#00AA00
CT,37.3522645,-107.9349284,#00AA00
CT,37.3522584,-107.9350004,#00AA00
CT,37.352262,-107.9350876,#00AA00
CT,37.3522839,-107.935181,#00AA00
CT,37.3523226,-107.9352788,#00AA00
